Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3182.5721423600025
ACCEGCATKHNRXUHW,1937.3836472749992
NKCE6GJ5XVJDXNNZ,11479.604031280005
NKCEB8BK3ZXDHDHM,9386.117265075005
TOPEFDXSAHRNPF94,5470.944261884992
ACCE558KZHEPZYMG,9332.636509144997
ACCEAZCVAMFHDPY7,5332.760613939995
NKCDYNY37JPBGBVM,2679.4593915200003
NKCEY8KWY33FCUYD,7829.122524104996
RNGE4YPTQYRECV9J,4540.433695080002
NKCE88AHBHJZREXH,3850.9383407950004
CLTEJ5ZZGBP4JGGE,8077.735570670002
WATE3NWH5FZWAMDA,8305.07586037001
CAGE53FSFZVFPFHQ,1715.716793174998
PCSEAKVBFFPGCHNZ,3851.4519114699997
WATDFFH3KJYBTYGG,7377.919328000002
NKCDWHFQSCHHYZMP,2708.33259907
RNGEB2PG3Q5RKDW6,3287.2139462699993
NKCE5UY9HHPZGGUZ,4323.3906933249955
KTAEHETW3ZCMFMJR,4166.744597559999
BRAEBBYRVF9MHJHU,7787.987240085004
NKCEAX7HAQ2RJA3Q,10044.081111814994
CRTECN2RQZWBSP9W,4977.256403319999
WATDEWZ9UHSEHGZG,9363.776037549997
PTPEYW8HNV6G9YYR,2827.256670235001
ACCEAMGZRRYVAHDC,5043.482869179997
SRTEHHXG8MUXTGPA,6078.154055575009
SKIE4S4NN4MHYM3Z,5117.856967460003
HMBE7G34YHWPWKYN,7211.133623644996
LLIEGTMFJBD7ZZZM,13681.59999295501
ACCEJGH6JVTM4CBH,856.0904353154999
ACCDQDYBXJ9HZF37,10167.481811095004
RNGE88FRGZCXNKUG,450.3730606365005
NKCE7M3QNNPZDXHQ,10242.3034787
VLBEGFFDP9H6WG2T,3595.2306393350013
TOPEAFG4YEQSH5TT,2431.5131280000005
WATEYAP3K2QQQWDH,5245.769025850004
PCSEBDFUFJWGARNX,10784.886691704996
SWTEGXQFZY95SKG7,4804.029476504995
BRAEGJFXSM9ZQ6SK,7297.251047119997
CAGE6FYKP34GA4GF,7622.798374720009
HMBEJCMH78VJF3M8,4363.718111770004
HIFEB7J3GSTVN5XJ,10583.605767135
PBXE6ZHNGZREWWHR,4442.7430562100035
PCSEAKVBNXFGZBKB,6736.521566535
BRAEBBMQQNZ9RZWR,5726.2158470150025
ACCEGKFCXHZZH44S,735.3484150477492
SHODXQRRGKZ74U9M,4254.07460371
DREE2Y6DVEKVVQQS,4480.3229132849965
PBXE8ZHHG5Y525BT,6866.662587819997
CTTEH9FXZHGFKUA3,7991.717079855
ACCDXFZXGQTBTM6N,3614.9061286149995
NKCE9PFF3TT4KSQJ,7969.961484355005
BRAE6NZAZK77HXZK,860.772015154999
NKCE4TV42BHDP63U,3402.54956118
AIREDGGD9RJPZGYW,5554.869902349995
PCSEDAPMHR2HNHWP,8328.463732920009
PACE95FMAFXHZB5C,4490.242025824999
WATDG4KP445AV5XC,13258.499526425008
ACCE9EYRRNZYZUBG,405.20447229825004
ACCE8XZMAHNC8JVS,632.5799687977495
SHOED5DCSTQKZCGF,3675.9533850499965
NKCE64Z4NGBHNAY7,3514.06123581
PBXE8WQTZ5GA2YYQ,809.7593661050004
MUGEGZUMGYAPVSZH,4312.2156282749975
PBXE4RB3Y3GXWPFV,728.1556512217497
PCSE2ZFDJJGFNHC7,629.1408633802507
CRTECN2QT5HKHZ8F,4845.084728794999
MUGEACY8Q7ZYSTN8,1606.4772407099993
ACCEGG9VGRMQGHRD,7229.6360278799975
PCSE76X48PVSDDVK,1099.6027268249998
PBXE6677X2D6UFZZ,5680.894530599998
WCKEGGGD2TXHHTJC,294.3804540179997
NKCE7MMGF4PPGNA6,2953.8356955949985
CRTECN2QYTPHK5YQ,4931.772743789999
OIDEJFCWMMR6JQBE,5583.965294600003
WATE5HFY4MJX6CHD,5275.151825640005
DREE4FC4TAR8M5GN,1297.6040909805006
HACEGPF9DZVUZBFY,7979.484058840017
